"COMPENDEX SOURCE LIST: UPDATED FEBRUARY 1, 2023",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
Electric Power Systems Research,Journal,03787796,-,Elsevier Ltd,United Kingdom,Energy Engineering and Power Technology,Electrical and Electronic Engineering,-,-,-,-,-,-,-
Electrica,Journal,-,26199831,Istanbul University,Turkey,Electrical and Electronic Engineering,-,-,-,-,-,-,-,OA (DOAJ)
"Electrical Contacts, Proceedings of the Annual Holm Conference on Electrical Contacts",Proceeding,03614395,-,Institute of Electrical and Electronics Engineers Inc.,United States,Electrical and Electronic Engineering,"Electronic, Optical and Magnetic Materials",-,-,-,-,-,-,-
Electrical Engineering,Journal,09487921,14320487,Springer Science and Business Media Deutschland GmbH,Germany,Electrical and Electronic Engineering,Applied Mathematics,-,-,-,-,-,-,-
Electrical Engineering in Japan (English translation of Denki Gakkai Ronbunshi),Journal,04247760,15206416,John Wiley and Sons Inc,United States,Energy Engineering and Power Technology,Electrical and Electronic Engineering,-,-,-,-,-,-,-
Electrical Overstress/Electrostatic Discharge Symposium Proceedings,Proceeding,07395159,-,ESD Association,United States,Electrical and Electronic Engineering,-,-,-,-,-,-,-,-
"Electrical Systems for Aircraft, Railway and Ship Propulsion, ESARS",Proceeding,21659400,21659427,IEEE Computer Society,United States,Control and Systems Engineering,Electrical and Electronic Engineering,Mechanical Engineering,Mechanics of Materials,-,-,-,-,-
Electrochemical Energy Reviews,Journal,-,25208136,Springer,Singapore,Chemical Engineering (miscellaneous),Electrochemistry,Energy Engineering and Power Technology,Materials Science (miscellaneous),-,-,-,-,-
Electrochemical Society Interface,Journal,10648208,19448783,Institute of Physics,United States,Electrochemistry,-,-,-,-,-,-,-,-
Electrochemistry,Journal,13443542,21862451,Electrochemical Society of Japan,Japan,Electrochemistry,-,-,-,-,-,-,-,OA (DOAJ)
Electrochemistry Communications,Journal,13882481,-,Elsevier Inc.,United States,Electrochemistry,-,-,-,-,-,-,-,OA (DOAJ)
Electrochimica Acta,Journal,00134686,-,Elsevier Ltd,United Kingdom,Chemical Engineering (all),Electrochemistry,-,-,-,-,-,-,-
Electromagnetic Biology and Medicine,Journal,15368378,15368386,Taylor and Francis Ltd.,United Kingdom,Biophysics,Medicine (miscellaneous),-,-,-,-,-,-,-
Electromagnetics,Journal,02726343,1532527X,Taylor and Francis Ltd.,United States,Electrical and Electronic Engineering,"Electronic, Optical and Magnetic Materials",Radiation,-,-,-,-,-,-
Electron Paramagnetic Resonance,Book series,14644622,14651955,Royal Society of Chemistry,United Kingdom,Analytical Chemistry,Spectroscopy,-,-,-,-,-,-,-
Electronic Commerce Research,Journal,13895753,15729362,Springer,United States,Human-Computer Interaction,"Economics, Econometrics and Finance (miscellaneous)",-,-,-,-,-,-,-
